Parameter,Fmax,beta,power,beta,power,beta,power,beta,power,beta,beta,power,beta,power,beta,power,beta
Control,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Variable,,pr_mean.nc,pr_mean.nc,tas_max.nc,tas_max.nc,Tree_cover_vcf.nc,Tree_cover_vcf.nc,vpd_mean.nc,vpd_mean.nc,beta0,Tree_cover_vcf.nc,Tree_cover_vcf.nc,Total_cover_vcf.nc,Total_cover_vcf.nc,cveg.nc,cveg.nc,beta0
1,27.137120344493635,-113.80217902762918,1.1331522078224072,41.48597248935506,0.5845693531389238,-1.651698793600936,1.065249248246748,4.539825846605066,2.5401315353873195,27.137120344493635,20.22340017428867,1.2243083364884306,52.77326602913352,2.001604933591507,0.4921604763321329,0.4317173684209563,-1.3886563867273956
2,30.79456255751926,-115.64178994304287,2.052402190150024,41.40171955554937,0.3326392561714798,-0.8983362186939116,3.967122964963523,4.55272933565207,1.444083909141307,30.79456255751926,10.550703546824792,2.1098795073779213,34.7847338738965,2.9237730291781667,36.66081596334782,0.9327434746258253,-0.4699809680457155
3,27.054347791603906,-116.27769554098893,0.9601300932004135,43.57141691711903,0.7014005238328078,-1.5284763145029758,2.0038443720723444,3.4861602797788995,0.884689031160042,27.054347791603906,0.2981467062194306,1.107515648050348,32.811966535214395,10.306664117558219,48.588648027352164,2.6714701158006267,-1.5443785647220278
4,29.27728713140604,-113.76351157741658,0.7852022862835409,39.68161984613341,1.5421018093520473,-0.9925222489614273,0.3315246092909724,5.47717662764353,1.118455752634707,29.27728713140604,10.912947416286748,0.8525522321246564,93.00076049672741,0.10001017183109356,14.656871291381986,0.8008281809385649,0.9617823453093797
5,28.001040734820755,-112.2236065673983,0.47994844426829075,38.74006743505846,0.6399921273956799,-1.303497298141545,0.7963517045536905,6.202994770943425,0.9900488246131066,28.001040734820755,21.615364883741222,1.3967133567809653,73.05789457609357,1.4605649552947486,0.19291079824018487,2.1316314970637658,-0.19342547806275123
6,32.54338379927834,-115.64561255620319,3.4346753637698395,40.3473013092211,1.2788137340295467,-0.9113093661542326,0.5445321841576157,5.230240800800052,0.6852485510641945,32.54338379927834,27.983193823253632,0.2777925770468856,33.076625450102526,0.21065963032152946,10.173929274813872,0.5612462913644332,-0.03626124551334935
7,27.254999246593453,-117.91038107882517,0.8467251387536512,40.975945320331896,1.2672787541791302,-0.3094136950066001,3.8138593189986643,4.738826354306328,0.8618861328882883,27.254999246593453,41.18245188036466,4.863362582388513,30.025203706703216,2.3135466053966596,0.19040728099204518,1.738227267053227,0.8233290793113771
8,28.74972092210698,-117.7634460609742,1.1562820338824167,42.73153559245989,0.7968869488533049,-1.9897928530900353,0.4226187553899816,3.9483884514430216,2.9957287817683835,28.74972092210698,8.492403067701796,0.5591366579464743,135.2891468651403,2.028645451054644,10.538690567621124,0.6301397502260101,-0.09453224245339847
